code,name1c,cat,sub,metal,qty,shops,per,sales,sum_sales,last_dt,last_price
000071797,серьги вс-2447 (Au.585),Серьги,,Золото 585,6,6,"15 Егорьевск №2:1, №1 Раменское №1:1, №4 Луховицы:1, №5 Озёры:1, 11 Ногинск №3:1, 12 Воскресенск №2:1",69,1106837,2026-04-02,68310.0
000006729,цепь нц12-078,Цепи,,,1,1,15 Егорьевск №2:1,69,792130,2020-06-26,12296.0
000053595,кольцо вкс-2410 (Ag.925),Кольца,,Серебро 925,1,1,№5 Озёры:1,69,100015,2022-12-31,2715.6
000098679,цепь 96-180-50030-1 (Ag.925),Цепи,,Серебро 925,18,3,"№4 Луховицы:7, №5 Озёры:7, 12 Воскресенск №2:4",69,31618,2026-04-23,450.0
000065154,кольцо (шт.) т145618649 (Au.585),Кольца,,Золото 585,2,2,"18 Подружка:1, 14 Электрогорск:1",68,1895207,2025-10-04,134600.0
000000793,цепь нц12-050,Цепи,,,1,1,№5 Озёры:1,68,1007559,2021-02-07,28726.0
000018023,кольцо обр двуспл 110202,Кольца,Обручальные,,2,1,15 Егорьевск №2:2,68,558795,2025-03-08,29056.0
000050208,браслет 0514110001-00040 (Au.585),Браслеты,,Золото 585,1,1,12 Воскресенск №2:1,68,492489,2025-12-05,49050.0
000001202,подвеска вп-1114 (Au.585),Подвески,,Золото 585,2,2,"15 Егорьевск №2:1, 14 Электрогорск:1",68,247961,2026-09-05,18424.8
000001945,подвеска 030726 т,Подвески,,,1,1,№4 Луховицы:1,68,187123,2024-05-13,13248.0
000085938,цепь 9065050_р (Ag.925),Цепи,,Серебро 925,7,5,"№1 Раменское №1:2, 12 Воскресенск №2:2, 15 Егорьевск №2:1, 18 Подружка:1, 14 Электрогорск:1",68,170144,2024-07-08,9927.5
000007256,подвеска т13086391,Подвески,,,3,3,"15 Егорьевск №2:1, 18 Подружка:1, 14 Электрогорск:1",68,164811,2026-04-30,18958.2
000007563,подвеска 030734 л,Подвески,,,1,1,№5 Озёры:1,68,146700,2025-02-22,12285.0
000065141,серьги (шт.) т305628729 (Au.585),Серьги,,Золото 585,1,1,№5 Озёры:1,67,2937302,2026-04-26,173630.0
